,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location
28,https://www.lazada.vn/products/camera-hanh-trinh-o-to-x008-full-hd-1296p-chong-rung-camera-truoc-va-sau-oto-sieu-net-luu-tru-video-len-den-45-ngay-cam-bien-chuyen-dong-ghi-hinh-tu-dong-co-den-ban-dem-i1957498772.html,"Camera Hành Trình Ô Tô X008 Full HD 1296p Chống Rung Camera Trước Và Sau Oto Siêu Nét Lưu Trữ Video Lên Đến 45 Ngày-Cảm Biến Chuyển Động , Ghi Hình Tự Động , Có Đèn Ban Đêm",555.000 ₫,29,29.0,45%off,29.0,(132),29.0,155 Đã bán,Hồ Chí Minh
29,https://www.lazada.vn/products/camera-wifi-imou-a1-a22-cuc-net-cuc-thong-minh-hang-chinh-hang-dss-dam-thoai-2-chieu-tinh-nang-canh-bao-trong-trom-i1847078130.html,Camera wifi Imou A1- A22 cực Nét Cực Thông minh hàng chính hãng dss đàm thoại 2 chiều tính năng cảnh báo trống trộm,545.000 ₫,30,30.0,9%off,30.0,(2),30.0,11 Đã bán,Hà Nội
30,https://www.lazada.vn/products/hcmcamera-ip-wifi-yoosee-ptz-mini-16-led-hd1080-xoay-360-do-chong-nuoc-i1295888570.html,[HCM]CAMERA IP WIFI YOOSEE PTZ MINI 16 LED HD1080 Xoay 360 độ chống nước,369.000 ₫,31,31.0,26%off,31.0,(350),31.0,"1,296 Đã bán",Hồ Chí Minh
31,https://www.lazada.vn/products/camera-imou-a42-4mp-2k-sieu-net-chinh-hang-i1853085533.html,Camera Imou A42 4MP-2K siêu nét chính hãng,645.000 ₫,32,32.0,1%off,32.0,(6),32.0,46 Đã bán,Đà Nẵng
32,https://www.lazada.vn/products/camera-wifi-ezviz-c1c-full-hd-1080p-dam-thoai-2-chieu-i1799854516.html,Camera Wifi Ezviz C1C Full HD 1080P Đàm Thoại 2 Chiều,464.000 ₫,33,33.0,32%off,33.0,(24),33.0,146 Đã bán,Hà Nội
33,https://www.lazada.vn/products/camera-ip-yoosee-ptzmini-36led-xem-dem-co-mau-fullhd-m36-bao-hanh-12-thang-i2081497307.html,Camera IP YooSee PTZmini 36led - xem đêm có màu FullHD M36 - Bảo Hành 12 Tháng,303.303 ₫,34,34.0,29%off,34.0,(49),34.0,420 Đã bán,Hà Nội
34,https://www.lazada.vn/products/camera-ip-wifi-ngoai-troi-yoosee-318s-2-rau-30-mpx-do-phan-giai-2304-x-1296-4-led-sang-2-led-hong-ngoai-ho-tro-dam-thoai-2-chieu-4-phan-loai-tuy-chon-nhat-tin-computer-i1870851250.html,Camera IP wifi ngoài trời Yoosee 318s 2 Râu 3.0 Mpx độ phân giải 2304 x 1296 4 led sáng 2 led hồng ngoại - hỗ trợ đàm thoại 2 chiều (4 phân loại tuỳ chọn) Nhất Tín Computer,498.300 ₫,35,35.0,50%off,35.0,(6),35.0,35 Đã bán,Hồ Chí Minh
35,https://www.lazada.vn/products/camera-sim-4g-pin-60-ngay-fullhd-1080p-sieu-net-goc-170-do-pin-60-ngay-quan-sat-bao-dong-chong-trom-che-do-pir-hong-ngoai-den-chong-nuoc-ip66-i2205297588.html,Camera s15 Sim 4G PIN 60 Ngày FullHD 1080P Siêu Nét Góc 170 Độ - PIN 60 Ngày Quan Sát Báo Động Chống Trộm Chế Độ PIR Hồng Ngoại Đen -Chống Nước IP66,1.482.855 ₫,36,36.0,55%off,36.0,(56),36.0,171 Đã bán,Hồ Chí Minh
36,https://www.lazada.vn/products/camera-yoosee-3-rau-gg-new-2022-hinh-anh-sac-net-xoay-360-do-quay-hong-ngoai-ban-dem-i2071669999.html,Camera Yoosee 3 râu GG New 2022 - Hình ảnh sắc nét - Xoay 360 độ - Quay hồng ngoại ban đêm,219.201 ₫,37,37.0,27%off,37.0,(38),37.0,130 Đã bán,Hà Nội
37,https://www.lazada.vn/products/bo-02-camera-wifi-trong-nha-imou-ranger-2c-2mp-i-bao-hanh-2-nam-i-ta22cp-i2053759567.html,Bộ 02 Camera Wifi trong nhà Imou Ranger 2C (2MP) I Bảo hành 2 năm I TA22CP,1.008.000 ₫,38,38.0,44%off,38.0,(83),38.0,166 Đã bán,Hồ Chí Minh
38,https://www.lazada.vn/products/new-2023-camera-yoosee-sim-4g-xoay-360-do-30-fhd-32-led-giam-sat-chuyen-nghiep-hinh-anh-sac-net-xem-dem-co-mau-xoay-360-do-chong-bui-chong-nuoc-hoan-hao-i2204841021.html,"NEW 2023 | CAMERA YOOSEE SIM 4G XOAY 360 ĐỘ – 3.0 FHD – 32 LED, Giám Sát Chuyên Nghiệp ,Hình Ảnh Sắc Nét, Xem Đêm Có Màu, Xoay 360 Độ, Chống Bụi, Chống Nước Hoàn Hảo",718.061 ₫,39,39.0,55%off,39.0,(55),39.0,171 Đã bán,Hồ Chí Minh
39,https://www.lazada.vn/products/camera-carecam-v5-xoay-360-do-full-hd-20mp-1080p-dam-thoai-2-chieu-bao-dong-chong-trom-ban-dem-co-mau-wifi-khong-day-trong-nha-i1269888644.html,Camera CARECAM V5 Xoay 360 Độ Full HD 2.0MP 1080p- Đàm Thoại 2 Chiều- Báo Động Chống Trộm- Ban Đêm Có Màu- Wifi Không Dây Trong Nhà,349.000 ₫,40,40.0,50%off,40.0,(39),40.0,169 Đã bán,Đà Nẵng
