,id,sku,short_description,price,list_price,discount,discount_rate,review_count,quantity_sold,cs_id,cs_name,stock_item,inventory_status,product_name,brand_id,brand_name,location
376,100373477,1277641311284,"Bảo an cho bạn - cả ngày lẫn đêmSpecificationsThông số mẫuMẫuCS-C6N-A0-1C2WFRCameraCảm biến hình ảnhCMOS Quét liên tục 1/4”Tốc độ màn trậpMàn trập tự điều chỉnhỐng kính4mm@ F2.4, góc quan ...",570000,570000,0,0,0,0,0,,0,available,Camera wifi Ezviz C6N 1080p (2MP) theo dõi chuyển động thông minh không có điểm mù- Hàng chính hãng. Tặng Kèm thẻ nhớ 32Gb,247217,EZVIZ,Trong nước
377,199200572,6191089536663,"Camera S13 Sim 4G FullHD 1080P Siêu Nét - Quan Sát Báo Động Chống Trộm, Model Mới Theo Dõi Từ Xa Trên Điện Thoại Mọi Lúc Mọi NơiCAMERA S13 PHIÊN BẢN SIM 4G MODEL MỚI CAO CẤPXem được trực tiếp từ x...",1390000,1390000,0,0,0,4,189196,THIÊN NHẬT QB,1000,available,"Camera S13 Sim 4G FullHD 1080P Siêu Nét - Quan Sát Báo Động Chống Trộm, Model Mới Theo Dõi Từ Xa Trên Điện Thoại Mọi Lúc Mọi Nơi",111461,OEM,Trong nước
378,101994217,8512338644354,"* Sản phẩm chưa có thẻ nhớ, Quý khách vui lòng bấm vào đường dẫn dưới đây để mua thêm thẻ nhớ:=> Thẻ Nhớ 32Gb | ĐiệnTửSàiGòn | Tiki=> Thẻ Nhớ 64Gb | ĐiệnTửSàiGòn | Tiki* Vị trí khe cắm thẻ nh...",245000,245000,0,0,2,12,196510,ĐiệnTửSàiGòn,1000,available,Camera wifi Yoosee 3MPx 11 LED Full HD - hàng chính hãng,111625,Yoosee,Trong nước
379,84086656,6638579316732," - Độ phân giải 3MPX chuẩn Ultra HD- Lens 2.8mm góc quan sát siêu rộng. Công nghệ AI, xoay 360 độ.ƯU ĐIỂM KHÔNG CẦN ĐẦU THU, KHÔNG CẦN Ổ CỨNG, DỄ DÀNG LẮP ĐẶT, XEM MỌI LÚC MỌI NƠI THÔNG SỐ KỸ THUẬT...",461000,480000,19000,4,4,8,48369,KHO SỈ CÔNG NGHỆ,1000,available,Camera IP Vitacam C1280 3.0 Mpx Ultra HD - Hàng Chính Hãng,199155,Vitacam,Trong nước
380,176183041,4240503568385,"Chế độ xem 2 màn hình (PiP) rộng hơn, rõ ràng hơnVới thiết kế đạt giải thưởng, C8PF giúp bạn không bao giờ bỏ lỡ khung hình bao quát trong khi vẫn xem được những gì quan trọng – đến từng chi tiế...",1584000,1650000,66000,4,0,0,0,,0,available,Camera IP hồng ngoại không dây 2.0 Megapixel EZVIZ C8PF - Hàng chính hãng,247217, EZVIZ,Trong nước
381,94341802,9359757252097,"Camera chỉ hộ trợ :2,Máy tính chạy windows2000/windows xp/vista/windows7/windows8/window10KHÔNG hỗ trợ iOSBộ sản phẩm bao gồm:Camera dây dài 2,0m + 01 móc+ 01 nam châm+01 gương lệch+01 cáp USB OTG+...",269900,269900,0,0,1,8,17929,MXMstore,1000,available,Camera nội soi siêu rẻ 7mm - Chống nước IP67 (Đen),111461,OEM,Trong nước
382,213925236,9336429004651,- Home Camera Viettel là loại Camera hiện đại nhất bây giờ nhờ công nghệ AI tiên tiến do Viettel thiết kế và lập trình. Nhận diện tự động phân biệt người và vật để đưa ra cảnh báo đúng nhất-Dịch vụ Ca...,599000,599000,0,0,0,1,61706,Táo Đỏ Hà Nội,1000,available,[CHÍNH HÃNG] camera viettet Ngoài Trời HC3 Và camera 360 HC2 Trong Nhà Hiện Đại Nhất 2022 Công Nghệ AI,25697,Viettel,Trong nước
383,54023400,9734064328527,"Bảo an cho bạn - cả ngày lẫn đêmSpecificationsThông số mẫuMẫuCS-C6N-A0-1C2WFRCameraCảm biến hình ảnhCMOS Quét liên tục 1/4”Tốc độ màn trậpMàn trập tự điều chỉnhỐng kính4mm@ F2.4, góc quan ...",655900,655900,0,0,3,22,155336,Điện Tử Siêu Nhỏ,1000,available,Camera Ezviz C6N (CV246 1080P) + Tặng thẻ nhớ Hikvision 64GB và chân đế - Hàng Chính Hãng,247217,EZVIZ,Trong nước
384,92396627,4179475185536,"       Camera IP hồng ngoại 2MP Chuẩn nén H.265   • Cảm biến hình ảnh CMOS 1/2.8""   • Chuẩn nén hình ảnh H265/H.264+,H.264   • Độ nhạy sáng: Màu 0.01 Lux @(F1.2, AGC ON), 0.028Lux @ (F2...",750000,750000,0,0,0,0,0,,0,available,Camera Hikvision IP 2MP DS-2CD1123G0E-I Hàng chính hãng,174069,Hikvision,Trong nước
385,213887824,8755094011689,"* Sản phẩm có 3 thuộc tính lựa chọn, Quý khách lưu ý chọn đúng thuộc tính cần mua:1. CAMERA KHÔNG THẺ2. CAMERA + THẺ 32GB3. CAMERA + THẺ 64GB* Khe cắm thẻ nhớ và nút Reset phía dưới mắt Camera* C...",248000,248000,0,0,1,3,196510,ĐiệnTửSàiGòn,1000,available,CAMERA WIFI YOOSEE - HÀNG NHẬP KHẨU,111625,Yoosee,Trong nước
